,Artist,Track,Track_id,Track_popularity,Artist_id,Artist_Popularity,Genres,Followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
144,Becky hill,My heart goes (la di da) (feat. topic),4xMbBESczlHPUO8QeYi56p,73,4EPJlUEBy49EX1wuFOvtjK,76,no specific genre,562332,0.695,0.781,7,-5.578,0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04,2.48
145,Baby keem,16,1Is8hGpkGMiePASAxBluxM,78,5SXuuuRpukkTvsLuUknva1,68,no specific genre,2495731,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31e-06,0.124,0.57,94.03,2.6
146,Kslv noh,Override,0KYvs7DKC7Cl5IHmwpP13f,78,2ElMqlv5py0QFIVXUff627,79,no specific genre,1176728,0.688,0.761,4,-4.607,0,0.163,0.00477,0.41,0.175,0.536,111.014,1.91
147,Saemy,Papa hai,0KsE8bkUYyyLlxuNptN5tc,50,4u5irqeYAcUg0pKBES0RQs,33,no specific genre,2844,0.917,0.577,9,-6.453,0,0.188,0.158,0.0,0.369,0.541,120.009,3.32
148,Central cee,Loading,4vzJrkfHbCGaodPA5RY5BV,77,5H4yInM5zmHqpKIoMNAx4r,71,no specific genre,485167,0.85,0.68,3,-6.18,0,0.338,0.732,0.0,0.0964,0.694,144.006,2.89
149,Karan randhawa,Jatti,5Y9ztJNxQjKwjBxAN54pJS,50,3mnR9SJ3hfV6EcrGKH44H9,72,no specific genre,4889429,0.622,0.669,6,-7.575,1,0.0906,0.357,0.0,0.205,0.73,78.084,2.58
150,Bruno mars,Just the way you are,27QQSJbO5w34WyZPVELygt,0,0du5cEVh5yTK9QJze8zA0C,65,no specific genre,58394,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,3.68
151,Bruno mars,Talking to the moon,6PAIBT51goao7IlFgfoLDJ,0,0du5cEVh5yTK9QJze8zA0C,74,no specific genre,22364346,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,3.63
152,Bruno mars,Skate,3UKvpxMCUKRwrLselgLQt9,0,0du5cEVh5yTK9QJze8zA0C,64,no specific genre,654802,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,3.39
153,Bruno mars,After last night,45xxQo8wexX4p6DnFCyOMC,0,0du5cEVh5yTK9QJze8zA0C,53,no specific genre,508570,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4.16
154,Bruno mars,Leave the door open,3ZJND4wSYOi5DsSS1kt4tH,0,0du5cEVh5yTK9QJze8zA0C,48,no specific genre,51375,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
155,Bruno mars,Skate,1Lhqq8EpmFaOXnsU0uh20d,0,0du5cEVh5yTK9QJze8zA0C,66,no specific genre,155214,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,3.39
156,Bruno mars,That's what i like,2RfStOTI2vjuMVbcN08G23,0,0du5cEVh5yTK9QJze8zA0C,48,no specific genre,51375,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,3.42
157,Bruno mars,Just the way you are - carl louis & martin danielle classic mix,4Q7pejOhpdIlBIVOCX74z7,0,0du5cEVh5yTK9QJze8zA0C,54,no specific genre,60814,0.718,0.541,5,-7.727,1,0.0497,0.0185,0.000535,0.0804,0.453,127.004,5.3
158,Bruno mars,Marry you,2MhxIByFz2l67nEvAAI2Zk,0,0du5cEVh5yTK9QJze8zA0C,79,no specific genre,1386202,0.62,0.832,10,-4.848,1,0.0361,0.331,0.0,0.104,0.482,144.925,3.84
159,Bruno mars,After last night,7sOamxM4WbJHCTSRptdxse,0,0du5cEVh5yTK9QJze8zA0C,82,no specific genre,6594306,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4.16
160,Bruno mars,Grenade - acoustic,1bWZPnFtUsPsHDD9KhldCU,0,0du5cEVh5yTK9QJze8zA0C,49,no specific genre,64824,0.661,0.389,2,-6.161,0,0.0296,0.822,0.0,0.121,0.426,97.873,4.11
161,Bruno mars,Skate,576IrYxgSWj3dQ8a9zcM6w,0,0du5cEVh5yTK9QJze8zA0C,89,no specific genre,67609711,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,3.39
162,Bruno mars,When i was your man,2cABcQoW6uThyXYI83E7po,0,0du5cEVh5yTK9QJze8zA0C,59,no specific genre,18587,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,3.56
163,Bruno mars,Leave the door open,6BX8e5STQ3fBHTBsu6dDYO,0,0du5cEVh5yTK9QJze8zA0C,64,no specific genre,3594505,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
164,Bruno mars,Leave the door open,4GwYTPnlq3Ygkr3A6lbWxn,0,0du5cEVh5yTK9QJze8zA0C,60,no specific genre,1706634,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
165,Bruno mars,When i was your man,0KX7I079JIb2ekmqO92A4y,0,0du5cEVh5yTK9QJze8zA0C,48,no specific genre,95855,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,3.56
166,Bruno mars,Leave the door open,7oNAx1KRxEvhe585FFz0Vb,0,0du5cEVh5yTK9QJze8zA0C,51,no specific genre,341692,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
